"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"1392",,,,,,,,,,,"3.126632644468316"
"1393",,,,,,,"-13.8125","9.875","14.125",,
"1396",,,,"0.0021305939","-0.09055024","0.094811425",,,,,
"1397",,,,,,,,,,,"3.1297000397358374"
"1401","0.41180268","1.1492168","9.873688",,,,,,,,
"1402",,,,"0.01065297","-0.09374613","0.07350549",,,,,
"1402",,,,,,,,,,,"3.143270131512793"
"1406",,,,"0.017044751","-0.09694202","0.05113425",,,,,
"1407",,,,,,,,,,,"3.1605227624694407"
"1411","0.45010993","1.1971009","9.883265",,,,,,,,
"1412",,,,"0.02130594","-0.09694202","0.022371236",,,,,
"1413",,,,,,,,,,,"3.1880853505347773"
"1414",,,,,,,"-13.6875","9.8125","14.3125",,
"1416",,,,"0.02769772","-0.09374613","-0.0074570784",,,,,
"1417",,,,,,,,,,,"3.2262357990306896"
"1421","0.48841715","1.1971009","9.921572",,,,,,,,
"1421",,,,"0.033024207","-0.08096257","-0.039415985",,,,,
"1421",,,,,,,,,,,"3.2752707942992743"
"1425",,,,"0.043677174","-0.06285252","-0.0692443",,,,,
"1426",,,,,,,,,,,"3.3344616405334477"
"1431","0.39264908","1.1587936","9.911995",,,,,,,,
"1431",,,,"0.050068956","-0.04261188","-0.09907261",,,,,
"1432",,,,,,,,,,,"3.401095898859012"
"1433",,,,,,,"-13.6875","9.625","14.4375",,
"1435",,,,"0.053264845","-0.022371236","-0.12570503",,,,,
"1436",,,,,,,,,,,"3.477978429147413"
"1441","0.22984336","1.1109096","9.835381",,,,,,,,
"1441",,,,"0.05219955","-0.0074570784","-0.15553336",,,,,
"1442",,,,,,,,,,,"3.5656833941756645"
"1446",,,,"0.04793836","0.0","-0.18110047",,,,,
"1446",,,,,,,,,,,"3.6601818361071423"
"1451","0.16280572","1.0151415","9.758766",,,,,,,,
"1451",,,,"0.050068956","0.0042611877","-0.20240642",,,,,
"1452",,,,,,,,,,,"3.7619307372859794"
"1453",,,,,,,"-13.5","9.6875","14.6875",,
"1455",,,,"0.054330144","0.01065297","-0.21732058",,,,,
"1456",,,,,,,,,,,"3.8670366764418986"
"1460","0.06703765","0.90979666","9.634268",,,,,,,,
"1461",,,,"0.06178722","0.02130594","-0.22690825",,,,,
"1462",,,,,,,,,,,"3.9759436158709036"
"1465",,,,"0.06285252","0.036220096","-0.22797355",,,,,
"1466",,,,,,,,,,,"4.088056475341602"
"1471","-0.047884032","0.79487497","9.682152",,,,,,,,
"1471",,,,"0.063917816","0.044742472","-0.22797355",,,,,
"1472",,,,,,,,,,,"4.200605613145569"
"1473",,,,,,,"-13.4375","9.9375","14.8125",,
"1475",,,,"0.06285252","0.04900366","-0.22264706",,,,,
"1476",,,,,,,,,,,"4.309411807284334"
"1480","-0.1340753","0.6991069","9.56723",,,,,,,,
"1481",,,,"0.06178722","0.053264845","-0.21625528",,,,,
"1481",,,,,,,,,,,"4.421999791789176"
"1485",,,,"0.06604841","0.05646074","-0.2066676",,,,,
"1486",,,,,,,,,,,"4.530749209980456"
"1490","-0.16280572","0.6607997","9.528923",,,,,,,,
"1491",,,,"0.0692443","0.060721926","-0.19494934",,,,,
"1492",,,,,,,,,,,"4.6364600477647855"
"1493",,,,,,,"-13.4375","9.8125","15.0",,
"1495",,,,"0.07883197","0.064983115","-0.18323107",,,,,
"1496",,,,,,,,,,,"4.738258467815115"
"1500","-0.24899697","0.60333884","9.442732",,,,,,,,
"1501",,,,"0.08202787","0.068179004","-0.16938221",,,,,
"1502",,,,,,,,,,,"4.837096427747099"
"1505",,,,"0.08628905","0.07244019","-0.15233746",,,,,
"1506",,,,,,,,,,,"4.9358118711608086"
"1510","-0.25857377","0.5650316","9.3661175",,,,,,,,
"1511",,,,"0.089484945","0.07350549","-0.13635801",,,,,
"1512",,,,,,,,,,,"5.0275758895467675"
"1513",,,,,,,"-13.4375","9.75","15.125",,
"1515",,,,"0.091615535","0.070309594","-0.12144385",,,,,
"1516",,,,,,,,,,,"5.115590987851988"
"1520","-0.2681506","0.5746084","9.212888",,,,,,,,
"1520",,,,"0.09587672","0.06604841","-0.1043991",,,,,
"1521",,,,,,,,,,,"5.196865970106899"
"1525",,,,"0.09055024","0.064983115","-0.094811425",,,,,
"1525",,,,,,,,,,,"5.281559035154601"
"1530","-0.36391866","0.5267244","9.11712",,,,,,,,
"1530",,,,"0.088419646","0.057526033","-0.08309316",,,,,
"1531",,,,,,,,,,,"5.35923322705645"
"1532",,,,,,,"-13.5","9.625","15.25",,
"1535",,,,"0.08202787","0.046873067","-0.07137489",,,,,
"1535",,,,,,,,,,,"5.436661105261351"
"1539","-0.4213795","0.545878","9.212888",,,,,,,,
"1540",,,,"0.07670138","0.034089502","-0.064983115",,,,,
"1540",,,,,,,,,,,"5.510622235575681"
"1545",,,,"0.070309594","0.02130594","-0.05646074",,,,,
"1545",,,,,,,,,,,"5.58459233051326"
"1550","-0.4213795","0.5267244","9.251195",,,,,,,,
"1550",,,,"0.06285252","0.0074570784","-0.04793836",,,,,
"1551",,,,,,,,,,,"5.658388255627017"
"1551",,,,,,,"-13.4375","9.5625","15.1875",,
"1555",,,,"0.059656627","0.0010652969","-0.03835069",,,,,
"1555",,,,,,,,,,,"5.725166161368577"
"1560","-0.41180268","0.45968673","9.279925",,,,,,,,
"1560",,,,"0.05646074","0.0","-0.029828314",,,,,
"1561",,,,,,,,,,,"5.795412522548077"
"1565",,,,"0.057526033","-0.0010652969","-0.019175345",,,,,
"1565",,,,,,,,,,,"5.858638303034411"
"1570","-0.34476504","0.51714754","9.222465",,,,,,,,
"1571",,,,"0.05219955","0.0042611877","-0.01065297",,,,,
"1572",,,,,,,,,,,"5.921869206162626"
"1573",,,,,,,"-13.375","9.6875","15.125",,
"1575",,,,"0.043677174","0.005326485","-0.0021305939",,,,,
"1575",,,,,,,,,,,"5.985173106937566"
"1580","-0.37349546","0.5363012","9.241618",,,,,,,,
"1580",,,,"0.02769772","0.0010652969","0.0021305939",,,,,
"1581",,,,,,,,,,,"6.044797243297182"
"1584",,,,"0.01065297","0.0010652969","0.0063917814",,,,,
"1585",,,,,,,,,,,"6.1043231956875275"
"1590","-0.39264908","0.5746084","9.174581",,,,,,,,
"1590",,,,"-0.0085223755","0.0010652969","0.01065297",,,,,
"1592",,,,,,,,,,,"6.163801336753636"
"1593",,,,,,,"-13.3125","9.625","15.1875",,
"1594",,,,"-0.025567126","0.0031958907","0.014914157",,,,,
"1595",,,,,,,,,,,"6.223302529708178"
"1599","-0.38307226","0.641646","9.14585",,,,,,,,
"1600",,,,"-0.033024207","0.0042611877","0.018110048",,,,,
"1601",,,,,,,,,,,"6.279170915797977"
"1604",,,,"-0.045807768","0.005326485","0.015979454",,,,,
"1605",,,,,,,,,,,"6.338766023853623"
"1609","-0.41180268","0.60333884","9.174581",,,,,,,,
"1610",,,,"-0.05219955","0.0063917814","0.015979454",,,,,
"1610",,,,,,,,,,,"6.398174582367574"
"1611",,,,,,,"-13.375","9.5","15.1875",,
"1614",,,,"-0.05646074","0.0010652969","0.020240642",,,,,
"1614",,,,,,,,,,,"6.457465320118331"
"1619","-0.38307226","0.62249243","9.193734",,,,,,,,
"1619",,,,"-0.060721926","-0.0010652969","0.026632423",,,,,
"1620",,,,,,,,,,,"6.5133123618669515"
"1624",,,,"-0.060721926","-0.0074570784","0.03728539",,,,,
"1625",,,,,,,,,,,"6.569025788039937"
"1629","-0.32561144","0.6703765","9.203311",,,,,,,,
"1630",,,,"-0.05539544","-0.012783563","0.050068956",,,,,
"1630",,,,,,,,,,,"6.617777970788154"
"1633",,,,,,,"-13.5","9.25","15.1875",,
"1634",,,,"-0.050068956","-0.018110048","0.06285252",,,,,
"1635",,,,,,,,,,,"6.666718410625435"
"1639","-0.29688102","0.7086837","9.203311",,,,,,,,
"1640",,,,"-0.045807768","-0.015979454","0.07137489",,,,,
"1641",,,,,,,,,,,"6.711944508214685"
"1644",,,,"-0.043677174","-0.014914157","0.08096257",,,,,
"1645",,,,,,,,,,,"6.757223539769996"
"1649","-0.23942018","0.7565677","9.069236",,,,,,,,
"1650",,,,"-0.044742472","-0.018110048","0.088419646",,,,,
"1651",,,,,,,,,,,"6.799076377682866"
"1653",,,,,,,"-13.25","9.3125","15.125",,
"1654",,,,"-0.04793836","-0.019175345","0.09374613",,,,,
"1655",,,,,,,,,,,"6.8407938924728455"
"1659","-0.25857377","0.8714894","9.078813",,,,,,,,
"1660",,,,"-0.05646074","-0.02450183","0.1043991",,,,,
"1660",,,,,,,,,,,"6.878881161718937"
"1664",,,,"-0.060721926","-0.02450183","0.11292148",,,,,
"1665",,,,,,,,,,,"6.917245480513259"
"1669","-0.24899697","0.94810385","9.11712",,,,,,,,
"1669",,,,"-0.07137489","-0.026632423","0.117182665",,,,,
"1670",,,,,,,,,,,"6.951773367428132"
"1671",,,,,,,"-13.1875","9.1875","14.9375",,
"1673",,,,"-0.08415846","-0.022371236","0.119313255",,,,,
"1674",,,,,,,,,,,"6.986531346340712"
