"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"241",,,,"-0.8149273","-0.40053943","0.55606806",,,,,
"249","-0.7314286","-0.12689269","11.544841",,,,,,,,
"245",,,,"-0.7797736","-0.25885928","0.71159667",,,,,
"249",,,,,,,,,,,"191.68892118941503"
"253","-0.4381389","0.17836803","11.980585",,,,,,,,
"253",,,,,,,"8.8","-13.7","-35.5",,
"250",,,,"-0.69348717","-0.14487597","0.84368944",,,,,
"259","-0.015562311","0.5303157","12.021287",,,,,,,,
"255",,,,"-0.56885123","-0.037284255","0.9395633",,,,,
"259",,,,,,,,,,,"195.1304622668877"
"263","0.45250413","0.81642276","11.859678",,,,,,,,
"263",,,,,,,"9.6","-13.8","-33.8",,
"259",,,,"-0.41971418","0.039414786","0.9938917",,,,,
"270","0.9516952","1.0402806","11.451467",,,,,,,,
"264",,,,"-0.26312032","0.05006743","1.0013486",,,,,
"270",,,,,,,,,,,"194.5149119585078"
"274","1.3599066","1.1899183","10.9343195",,,,,,,,
"274",,,,,,,"9.2","-14.1","-34.3",,
"269",,,,"-0.11824436","-0.024501082","0.97471696",,,,,
"279","1.5717934","1.3563153","10.557233",,,,,,,,
"274",,,,"0.0053263223","-0.16937704","0.9267801",,,,,
"279",,,,,,,,,,,"198.2144156205535"
"284","1.6555905","1.5107412","10.356119",,,,,,,,
"284",,,,,,,"9.0","-14.1","-34.4",,
"279",,,,"0.10439592","-0.32597092","0.8681905",,,,,
"289","1.5634137","1.6531962","10.262746",,,,,,,,
"284",,,,"0.17789917","-0.44741106","0.8064052",,,,,
"289",,,,,,,,,,,"197.7140086412017"
"293","1.4556746","1.7992426","10.077195",,,,,,,,
"293",,,,,,,"8.5","-14.1","-33.9",,
"288",,,,"0.22370553","-0.5006743","0.75420725",,,,,
"299","1.4161704","1.9812019","9.8042555",,,,,,,,
"293",,,,"0.23755397","-0.48682585","0.71585774",,,,,
"299",,,,,,,,,,,"200.98968540486976"
"303","1.4532804","2.1918917","9.397242",,,,,,,,
"303",,,,,,,"8.3","-13.900001","-34.0",,
"298",,,,"0.21092236","-0.41438788","0.6743124",,,,,
"310","1.4903905","2.3762453","9.03452",,,,,,,,
"303",,,,"0.1438107","-0.30786142","0.62104917",,,,,
"310",,,,,,,,,,,"200.60080175428592"
"313","1.3838485","2.468422","8.76637",,,,,,,,
"313",,,,,,,"10.0","-14.6","-33.8",,
"308",,,,"0.039414786","-0.18855181","0.5581986",,,,,
"320","1.1683705","2.468422","8.583213",,,,,,,,
"313",,,,"-0.094808534","-0.07456851","0.49215218",,,,,
"320",,,,,,,,,,,"202.97877309496087"
"323","0.89543146","2.3391352","8.535329",,,,,,,,
"323",,,,,,,"9.8","-14.5","-33.7",,
"318",,,,"-0.25033715","0.03195793","0.43036684",,,,,
"329","0.60453594","2.1428106","8.619126",,,,,,,,
"323",,,,"-0.41545314","0.11611383","0.38242993",,,,,
"329",,,,,,,,,,,"202.71979964239068"
"333","0.38307226","1.9440918","8.779537",,,,,,,,
