"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"0",,,,,,,,,,"168.0",
"764","0.4405331","0.60333884","9.519346",,,,,,,,
"764",,,,"0.0","0.0","0.0",,,,,
"765",,,,,,,,,,,"212.11579035525375"
"769",,,,"0.0","0.0","0.0",,,,,
"770",,,,,,,,,,,"212.03158778316583"
"774","0.41180268","0.62249243","9.672575",,,,,,,,
"775",,,,"0.0","0.0","0.0",,,,,
"776",,,,,,,,,,,"211.94985773955744"
"776",,,,,,,"-3.9375","-13.6875","-4.4375",,
"780",,,,"0.0","0.0","0.0",,,,,
"781",,,,,,,,,,,"211.86558686557782"
"783","0.23942018","0.5554548","9.682152",,,,,,,,
"784",,,,"0.0","0.0","0.0",,,,,
"785",,,,,,,,,,,"211.7812750104632"
"788",,,,"0.0","0.0","0.0",,,,,
"789",,,,,,,,,,,"211.6967036081601"
"796","0.17238252","0.5267244","9.615114",,,,,,,,
"797",,,,,,,"-10.5","-2.1875","-6.6875",,
"798",,,,"0.10013791","0.12144385","-0.03089361",,,,,
"799",,,,,,,,,,,"211.52082623703228"
"800",,,,"0.10013791","0.12144385","-0.03089361",,,,,
"800",,,,,,,,,,,"211.52082623703228"
"803","0.15322891","0.51714754","9.825804",,,,,,,,
"804",,,,"0.070309594","0.117182665","-0.026632423",,,,,
"805",,,,,,,,,,,"211.43756623104983"
"808",,,,"0.050068956","0.09587672","-0.014914157",,,,,
"809",,,,,,,,,,,"211.35688803657362"
"814","0.20111294","0.5554548","10.007763",,,,,,,,
"814",,,,"0.035154797","0.07883197","-0.005326485",,,,,
"815",,,,,,,,,,,"211.27037686054624"
"816",,,,,,,"-17.875","8.4375","-8.5",,
"818",,,,"0.017044751","0.07350549","0.0021305939",,,,,
"818",,,,,,,,,,,"211.17549187259644"
"823","0.20111294","0.5650316","9.931149",,,,,,,,
"823",,,,"-0.005326485","0.070309594","0.005326485",,,,,
"824",,,,,,,,,,,"211.08016975253972"
"828",,,,"-0.031958908","0.068179004","0.009587673",,,,,
"828",,,,,,,,,,,"210.98279857573203"
"833","0.11492168","0.62249243","9.825804",,,,,,,,
"833",,,,"-0.06178722","0.06285252","0.020240642",,,,,
"834",,,,,,,,,,,"210.87385705847032"
"835",,,,,,,"-14.125","3.0625","-6.9375",,
"838",,,,"-0.088419646","0.044742472","0.033024207",,,,,
"838",,,,,,,,,,,"210.7650794657487"
"843","-0.038307227","0.46926352","9.816227",,,,,,,,
"844",,,,"-0.11185618","0.019175345","0.04154658",,,,,
"845",,,,,,,,,,,"210.64739530634938"
"848",,,,"-0.116117366","-0.011718267","0.045807768",,,,,
"849",,,,,,,,,,,"210.5287412600879"
"853","0.038307227","0.59376204","9.222465",,,,,,,,
"854",,,,"-0.13422741","-0.07776668","0.028763017",,,,,
"854",,,,,,,,,,,"210.4124914404143"
"856",,,,,,,"-17.875","8.3125","-8.25",,
"858",,,,"-0.16725162","-0.09694202","0.019175345",,,,,
"859",,,,,,,,,,,"210.2988097718686"
"863","-0.15322891","0.842759","9.414001",,,,,,,,
"864",,,,"-0.15979454","-0.040481284","0.029828314",,,,,
"864",,,,,,,,,,,"210.17462327237945"
"868",,,,"-0.1374233","0.0010652969","0.04261188",,,,,
"868",,,,,,,,,,,"210.04784130100566"
"873","-0.22026655","0.4405331","9.203311",,,,,,,,
"873",,,,"-0.120378554","-0.0063917814","0.050068956",,,,,
"874",,,,,,,,,,,"209.91215276295418"
"874",,,,,,,"-18.5625","8.0","-7.9375",,
"878",,,,"-0.11185618","-0.026632423","0.04900366",,,,,
"879",,,,,,,,,,,"209.7784723005187"
"883","-0.15322891","0.2777274","9.184157",,,,,,,,
"883",,,,"-0.1043991","-0.03835069","0.054330144",,,,,
"884",,,,,,,,,,,"209.63607651670227"
"888",,,,"-0.1043991","-0.05219955","0.064983115",,,,,
"888",,,,,,,,,,,"209.48780677019963"
"893","0.038307227","0.5363012","9.193734",,,,,,,,
"894",,,,,,,"-18.4375","8.375","-8.1875",,
"894",,,,"-0.10866029","-0.070309594","0.07457078",,,,,
"895",,,,,,,,,,,"209.3357121177618"
"897",,,,"-0.10652969","-0.058591332","0.07670138",,,,,
"898",,,,,,,,,,,"209.17848116306808"
"903","0.2873042","0.59376204","9.998186",,,,,,,,
"903",,,,"-0.08202787","0.034089502","0.07350549",,,,,
"904",,,,,,,,,,,"209.01924213275842"
"908",,,,"-0.043677174","0.05113425","0.08415846",,,,,
"909",,,,,,,,,,,"208.85695683807893"
"913","-0.05746084","0.33518824","10.0269165",,,,,,,,
"913",,,,"0.01065297","0.092680834","0.10652969",,,,,
"914",,,,,,,,,,,"208.67997297630555"
"915",,,,,,,"-16.5625","5.8125","-7.875",,
"918",,,,"0.07563608","0.23330003","0.12890093",,,,,
"918",,,,,,,,,,,"208.49880903876013"
"922","0.10534488","0.019153614","10.323798",,,,,,,,
"922",,,,"0.14274979","0.36646214","0.13422741",,,,,
"924",,,,,,,,,,,"208.31270004425562"
"927",,,,"0.19281875","0.42824936","0.13635801",,,,,
"927",,,,,,,,,,,"208.1242004835416"
"933","0.009576807","0.12449849","10.237606",,,,,,,,
"933",,,,"0.22371235","0.43570644","0.13209683",,,,,
"934",,,,,,,,,,,"207.93523646996402"
"935",,,,,,,"-18.25","8.625","-8.25",,
"937",,,,"0.23436533","0.43783703","0.12996623",,,,,
"938",,,,,,,,,,,"207.7430759278549"
"942","-0.11492168","0.35434186","10.113108",,,,,,,,
"943",,,,"0.21945117","0.4516859","0.1395539",,,,,
"943",,,,,,,,,,,"207.5451916872213"
"947",,,,"0.18536167","0.4495553","0.15340276",,,,,
"948",,,,,,,,,,,"207.34424752183952"
"953","-0.1340753","0.45968673","9.873688",,,,,,,,
"953",,,,"0.14594568","0.42611876","0.16405573",,,,,
"954",,,,,,,,,,,"207.13760697868994"
"955",,,,,,,"-18.375","8.625","-8.375",,
"959",,,,"0.116117366","0.40694344","0.175774",,,,,
"959",,,,,,,,,,,"206.92460069923393"
"962","-0.1340753","0.41180268","9.576807",,,,,,,,
"963",,,,"0.10013791","0.40481284","0.18642697",,,,,
"964",,,,,,,,,,,"206.70604830617185"
"967",,,,"0.094811425","0.40055165","0.18429637",,,,,
"968",,,,,,,,,,,"206.48655334700433"
"972","-0.2873042","0.45010993","9.519346",,,,,,,,
"973",,,,"0.10013791","0.3813763","0.1736434",,,,,
"974",,,,,,,,,,,"206.26950359555966"
"975",,,,,,,"-18.1875","8.8125","-8.4375",,
"977",,,,"0.1033338","0.3483521","0.15872924",,,,,
"978",,,,,,,,,,,"206.05469414616277"
"982","-0.40222588","0.62249243","9.308656",,,,,,,,
