"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"0",,,,,,,,,,"239.0",
"2761",,,,"0.0","0.0","0.0",,,,,
"2762",,,,,,,,,,,"188.99314114665938"
"2766","-0.4405331","0.23942018","9.289502",,,,,,,,
"2766",,,,"0.0","0.0","0.0",,,,,
"2767",,,,,,,,,,,"188.99307284476768"
"2771",,,,"0.0","0.0","0.0",,,,,
"2771",,,,,,,,,,,"188.99300454287598"
"2776","-0.4213795","0.2873042","9.356541",,,,,,,,
"2776",,,,"0.0","0.0","0.0",,,,,
"2777",,,,,,,,,,,"188.9929499013626"
"2778",,,,,,,"-0.875","-8.125","8.875",,
"2781",,,,"0.0","0.0","0.0",,,,,
"2781",,,,,,,,,,,"188.99293624098428"
"2785","-0.34476504","0.2873042","9.452309",,,,,,,,
"2786",,,,"0.011718267","-0.023436533","0.06178722",,,,,
"2787",,,,,,,,,,,"188.97148944699043"
"2790",,,,"0.12677033","-0.02769772","0.113986775",,,,,
"2791",,,,,,,,,,,"188.94114974669725"
"2796","-0.36391866","0.38307226","9.5385",,,,,,,,
"2796",,,,"0.12677033","0.0085223755","0.03089361",,,,,
"2798",,,,,,,,,,,"188.93054929310537"
"2799",,,,,,,"-6.75","0.875","11.8125",,
"2800",,,,"0.12677033","0.018110048","0.022371236",,,,,
"2802",,,,,,,,,,,"188.92075480183559"
"2806","-0.36391866","0.38307226","9.394848",,,,,,,,
"2809",,,,"0.117182665","0.023436533","0.02130594",,,,,
"2810",,,,,,,,,,,"188.90097457399924"
"2811",,,,"0.10013791","0.03089361","0.02130594",,,,,
"2812",,,,,,,,,,,"188.90097457399924"
"2816","-0.36391866","0.40222588","9.3661175",,,,,,,,
"2816",,,,"0.08309316","0.036220096","0.02450183",,,,,
"2817",,,,,,,,,,,"188.88749178057762"
"2818",,,,,,,"-12.3125","9.625","14.125",,
"2822",,,,"0.060721926","0.040481284","0.022371236",,,,,
"2822",,,,,,,,,,,"188.87309374180722"
"2825","-0.34476504","0.4405331","9.241618",,,,,,,,
"2826",,,,"0.043677174","0.046873067","0.025567126",,,,,
"2827",,,,,,,,,,,"188.8525348724055"
"2830",,,,"0.023436533","0.046873067","0.022371236",,,,,
"2831",,,,,,,,,,,"188.83190770111204"
"2835","-0.30645782","0.45010993","9.232041",,,,,,,,
"2836",,,,"0.0063917814","0.045807768","0.017044751",,,,,
"2836",,,,,,,,,,,"188.80766052955852"
"2837",,,,,,,"-9.75","5.25","12.8125",,
"2841",,,,"-0.01065297","0.040481284","0.014914157",,,,,
"2842",,,,,,,,,,,"188.78341335800496"
"2845","-0.29688102","0.51714754","9.222465",,,,,,,,
"2846",,,,"-0.02450183","0.029828314","0.011718267",,,,,
"2846",,,,,,,,,,,"188.75747229953726"
"2850",,,,"-0.035154797","0.014914157","0.0085223755",,,,,
"2851",,,,,,,,,,,"188.72539773119487"
"2855","-0.30645782","0.47884035","9.299079",,,,,,,,
"2856",,,,"-0.04900366","0.0010652969","0.01384886",,,,,
"2857",,,,,,,,,,,"188.69407448366118"
"2858",,,,,,,"-12.5625","9.75","14.0625",,
"2860",,,,"-0.058591332","-0.015979454","0.01384886",,,,,
"2861",,,,,,,,,,,"188.65426814117836"
"2865","-0.33518824","0.45010993","9.375694",,,,,,,,
"2866",,,,"-0.06604841","-0.028763017","0.017044751",,,,,
"2866",,,,,,,,,,,"188.61261764761963"
"2870",,,,"-0.07563608","-0.035154797","0.023436533",,,,,
"2872",,,,,,,,,,,"188.5666094933704"
"2876","-0.39264908","0.36391866","9.519346",,,,,,,,
"2876",,,,"-0.07989727","-0.044742472","0.025567126",,,,,
"2877",,,,,,,,,,,"188.5111073761749"
"2878",,,,,,,"-12.5","10.0","13.625",,
"2880",,,,"-0.08628905","-0.043677174","0.02769772",,,,,
"2881",,,,,,,,,,,"188.4531600512565"
"2885","-0.38307226","0.34476504","9.528923",,,,,,,,
"2885",,,,"-0.088419646","-0.036220096","0.033024207",,,,,
"2886",,,,,,,,,,,"188.38644276344382"
"2890",,,,"-0.091615535","-0.03089361","0.04261188",,,,,
"2891",,,,,,,,,,,"188.31200736186904"
"2895","-0.39264908","0.34476504","9.586384",,,,,,,,
"2895",,,,"-0.09055024","-0.022371236","0.050068956",,,,,
"2896",,,,,,,,,,,"188.23137014852784"
"2896",,,,,,,"-12.625","10.3125","13.8125",,
"2899",,,,"-0.089484945","-0.018110048","0.060721926",,,,,
"2900",,,,,,,,,,,"188.14313776482962"
"2906","-0.38307226","0.34476504","9.548077",,,,,,,,
"2907",,,,"-0.08522376","-0.018110048","0.064983115",,,,,
"2908",,,,,,,,,,,"188.04799322969134"
"2909",,,,"-0.07670138","-0.014914157","0.0692443",,,,,
"2910",,,,,,,,,,,"187.94243948625797"
"2915","-0.40222588","0.36391866","9.548077",,,,,,,,
"2916",,,,"-0.07137489","-0.019175345","0.070309594",,,,,
"2916",,,,,,,,,,,"187.83349796899628"
"2917",,,,,,,"-11.1875","7.8125","13.25",,
"2919",,,,"-0.06604841","-0.017044751","0.07137489",,,,,
"2922",,,,,,,,,,,"187.71769894180787"
"2924","-0.45968673","0.31603462","9.394848",,,,,,,,
"2925",,,,"-0.063917816","-0.019175345","0.07776668",,,,,
"2926",,,,,,,,,,,"187.5941954612357"
"2929",,,,"-0.058591332","-0.02130594","0.08096257",,,,,
"2930",,,,,,,,,,,"187.4679872257522"
"2935","-0.45968673","0.35434186","9.32781",,,,,,,,
"2936",,,,"-0.059656627","-0.020240642","0.08096257",,,,,
"2937",,,,,,,,,,,"187.33418381991166"
"2940",,,,,,,"-12.875","10.125","14.0",,
"2941",,,,"-0.058591332","-0.020240642","0.07883197",,,,,
