"Time","Accel_x","Accel_y","Accel_z","Gyro_x","Gyro_y","Gyro_z","Mag_x","Mag_y","Mag_z","Light","Compass"
"0","-1.6448165","3.0609868","11.818976",,,,,,,,
"3","-1.6448165","3.0609868","11.818976",,,,,,,,
"8","-0.93732995","2.801216","12.436681",,,,,,,,
"13","-0.93732995","2.801216","12.436681",,,,,,,,
"18","-0.93732995","2.801216","12.436681",,,,,,,,
"23","-0.93732995","2.801216","12.436681",,,,,,,,
"28","-0.93732995","2.801216","12.436681",,,,,,,,
"29",,,,,,,,,,,"194.14035804480264"
"34","-0.82001406","2.56419","10.824186",,,,,,,,
"38",,,,,,,,,,,"193.89892451802103"
"38","-0.82001406","2.56419","10.824186",,,,,,,,
"43","-1.0570401","2.146402","9.805453",,,,,,,,
"48","-1.0570401","2.146402","9.805453",,,,,,,,
"48",,,,,,,,,,,"193.19242341065325"
"54","-1.328782","1.721431","9.860519",,,,,,,,
"59","-1.5765818","1.4903905","10.225636",,,,,,,,
"59",,,,,,,,,,,"192.5523800439097"
"63","-1.6807296","1.316811","10.676943",,,,,,,,
"68","-1.6807296","1.316811","10.676943",,,,,,,,
"68",,,,,,,,,,,"192.5523800439097"
"74","-1.5454572","1.0175357","11.591528",,,,,,,,
"77","-1.5454572","1.0175357","11.591528",,,,,,,,
"77",,,,,,,,,,,"192.28739602486988"
"84","-1.2856863","0.9756372","11.943475",,,,,,,,
"88","-1.2856863","0.9756372","11.943475",,,,,,,,
"88",,,,,,,,,,,"191.87181999500962"
"94","-0.91458505","1.3000516","11.550826",,,,,,,,
"98","-0.6703765","1.6316484","11.347319",,,,,,,,
"98",,,,,,,,,,,"191.45931755027587"
"103","-0.4297592","2.0769699","11.174936",,,,,,,,
"103",,,,"-0.3568636","-0.17150758","1.015197",,,,,
"109","-0.25258827","2.7808652","10.95467",,,,,,,,
"109",,,,"-0.3568636","-0.17150758","1.015197",,,,,
"109",,,,,,,,,,,"190.63313786827115"
"115","-0.20590134","3.5781345","10.565612",,,,,,,,
"114",,,,"-0.36218992","-0.16085494","1.1824435",,,,,
"118","0.05267244","4.0545807","10.502166",,,,,,,,
"118",,,,,,,,,,,"189.99760242637979"
"123","0.4441244","4.2461166","10.820595",,,,,,,,
"120",,,,"-0.48043427","-0.17470337","1.2857742",,,,,
"129","0.7505822","4.1060557","11.311406",,,,,,,,
"126",,,,"-0.48043427","-0.17470337","1.2857742",,,,,
"129",,,,,,,,,,,"189.14882847860065"
"134","0.8834604","3.7972038","11.98298",,,,,,,,
"131",,,,"-0.572047","-0.22050974","1.212271",,,,,
"138","0.7613561","3.3842041","12.599486",,,,,,,,
"137",,,,"-0.572047","-0.22050974","1.212271",,,,,
"138",,,,,,,,,,,"188.37280970586048"
"143","0.34835634","2.9891608","13.131",,,,,,,,
"142",,,,"-0.46019423","-0.44421527","0.9470201",,,,,
"149","-0.32920274","2.5953147","13.420697",,,,,,,,
"147",,,,"-0.46019423","-0.44421527","0.9470201",,,,,
"149",,,,,,,,,,,"187.47335575443984"
"154","-0.9959879","2.2936451","13.494918",,,,,,,,
"153",,,,"-0.17044231","-0.7978831","0.58483016",,,,,
"158","-1.5562311","2.0518308","13.317747",,,,,,,,
"158",,,,"-0.17044231","-0.7978831","0.58483016",,,,,
"158",,,,,,,,,,,"186.957280321132"
"163","-1.9740193","1.7860745","13.024457",,,,,,,,
"163",,,,"0.10972224","-1.1004182","0.28549087",,,,,
"168","-2.5941176","1.6771383","12.976573",,,,,,,,
"168",,,,"0.10972224","-1.1004182","0.28549087",,,,,
"168",,,,,,,,,,,"186.37579899633215"
"174","-2.7748797","1.3970166","12.758701",,,,,,,,
